20
32
22222222222222222222222222222222
2                              2
2                              2
2                              2
2                              2
2                              2
2                              2
2                              2
2                              2
2                              2
2                              2
2                              2
2                              2
2                              2
27777                      77772
15555                      55551
15555                      55551
15555                      55551
15555                      55551
11111111111111111111111111111111
Player 17 13 Right
ExitDoor 17 15
