50
50
66666666666666666666666666666666666666666666666666
6                                                6
6                      !  !         !        !   6
6       55              55          !        !   6
6   !  5555  !         5555         !        !   6
6    55555555        55555555        55555555    6
6      5555            5555            5555      6
6       55              55              55       6
66              55                              66
666         !  5555  !                      !  666
66666        55555555                        66666
666            5555                            666
66     !  !     55     !  !            !  !     66
6       55              55              55       6
6   !  5555  !      !  5555  !      !  5555  !   6
6    55555555        55555555        55555555    6
6      5555            5555            5555      6
6       55              55     !  !     55       6
66                              55               6
666                         !  5555  !      !   66
66666                        55555555        66666
666                            5555            666
66     !  !            !  !     55     !  !     66
6       55              55              55       6
6      5555  !      !  5555  !      !  5555  !   6
6    55555555        55555555        55555555    6
6      5555            5555            5555      6
6       55     !  !     55     !  !     55       6
66              55              55              66
666  !      !  5555  !      !  5555  !      !  666
66666        55555555        55555555        66666
666            5555            5555            666
66     !  !     55              55     !  !     66
6       55                              55       6
6   !  5555  !                      !  5555  !   6
6    55555555                        55555555    6
6      5555                            5555      6
6       55     !  !            !  !     55       6
66              55              55              66
666         !  5555  !      !  5555  !      !  666
66666        55555555        55555555        66666
666            5555            5555            666
66              55     !  !     55              66
6                       55                       6
6                   !  5555  !                   6
6                    55555555                    6
6                      5555                      6
6                                                6
6                                                6
66666666666666666666666666666666666666666666666666
Player 1 9 Right
Kyoro 1 25 Left
ItemEnemy 3 6 Right Rocket
ItemEnemy 3 12 Right Rocket
Babo 3 40 Right
House 8 14 Left
House 8 20 Left
Baaka 7 46 Left
House 11 9 Left
House 11 25 Left
House 11 41 Left
ItemEnemy 26 33 Right Rocket
Kyoro 18 30 Left
Kyoro 18 46 Left
House 21 9 Left
House 21 25 Left
House 21 41 Left
House 26 17 Left
House 28 36 Left
House 28 46 Left
House 31 16 Left
House 31 32 Left
House 36 24 Left
Baaka 41 5 Right
Baaka 41 45 Left
ExitDoor 3 40
