20
24
iiiiiiiiiiiiiiiiiiiiiiii
i                      i
i                      i
i                      i
i                      i
i                      i
i                      i
i                      i
i                      i
i                      i
i                      i
i                      i
i                      i
i                      i
i                      i
i                      i
i                      i
i                      i
i                      i
hhhhhhhhhhhhhhhhhhhhhhhh
Player 17 1 Right
ExitDoor 17 11
