28
50
66666666666666666666666666666666666666666666666666
6                                                6
6   ! !               ! !           ! !          6
6    5        ! !      5       ! !   5           6
6              5                5       ! !      6
6       ! !          ! !                 5       6
6   ! !  5            5     ! !                  6
6    5      ! !              5        ! !        6
6            5      ! !                5       ! 6
6 !            ! !   5       ! ! ! !            66
66              5             5   5              6
6                                                6
6                                                6
66666        66666666        66666666        66666
6666          666666          666666          6666
666             666 !       !  6666 !        ! 666
6    5555555         5555555         55555555    6
6    555555       !  555555       !  555555      6
6  555555       !  555555       !  555555        6
6  5555       !  555555       !  555555       !  6
6  55       !  555555       !  555555       !  556
6  55        55555555        55555555        55556
6                                                6
6                                         5      6
6        6666            6666                    6
6       666666          666666                   6
6 !    66666666        66666666                  6
66666666666666666666666666666666666666666666666666
Player 16 3 Right
ItemEnemy 1 5 Right Health
ItemEnemy 1 23 Right Health
ItemEnemy 1 37 Right Health
House 2 32 Left
House 2 15 Left
House 3 41 Left
House 4 9 Left
House 4 22 Left
House 5 5 Left
House 5 29 Left
House 6 13 Left
House 6 39 Left
House 7 21 Left
House 7 48 Left
Kyoro 16 19 Left
Kyoro 16 35 Left
Kyoro 17 17 Left
Kyoro 17 33 Left
Kyoro 18 15 Left
Kyoro 18 31 Left
Kyoro 18 47 Left
Kyoro 19 13 Left
Kyoro 19 29 Left
Kyoro 19 45 Left
Kyoro 25 5 Left
Kyoro 25 20 Left
Kyoro 25 48 Left
Babo 14 22 Right
Babo 14 38 Right
Baaka 24 45 Left
ExitDoor 25 47
